CCSP,CDCS,ADCS,CDWS,GL,NDCS,NRBCON,SL,ZSCS,EURUSD,USDCLP,USDCNY,USDPEN,USInflation,ChinaInflation
51919.0,7370.4,1758.86,334815.0,1246.14,14589.8,2.62,20.14,2080.3,1.36,537.06,6.05,2.81,1.6,2.5
51184.0,7227.4,1719.35,326145.0,1256.61,14396.6,2.65,19.78,2020.8,1.37,547.29,6.05,2.81,1.6,2.5
50831.0,7108.7,1664.76,315335.0,1253.22,13847.3,2.63,19.36,1964.2,1.36,553.83,6.06,2.82,1.4,2.3
50870.5,7138.95,1665.67,307745.0,1269.62,14006.4,2.71,20.01,2003.2,1.36,554.45,6.06,2.82,1.1,2.0
50750.0,7192.1,1701.25,298205.0,1312.38,14288.9,2.8,21.13,2044.5,1.37,547.76,6.06,2.81,1.1,2.0
50194.0,7180.2,1725.1,285440.0,1326.94,14336.5,2.83,21.78,2054.3,1.37,554.47,6.09,2.8,1.1,2.0
49044.0,7074.2,1712.68,275180.0,1334.15,14620.4,2.87,21.23,2105.35,1.37,560.23,6.14,2.8,1.26,2.16
47920.0,6817.45,1729.55,267570.0,1342.53,15376.7,2.96,21.01,2081.5,1.39,566.23,6.13,2.8,1.5,2.4
44693.0,6492.35,1696.97,257040.0,1367.58,15812.8,2.93,21.15,1975.35,1.39,571.46,6.16,2.8,1.5,2.4
45464.0,6516.65,1688.15,266755.0,1321.69,16082.7,2.89,20.18,1954.85,1.38,563.63,6.21,2.81,1.5,2.4
46696.0,6616.6,1719.22,266785.0,1289.89,15811.0,2.91,19.72,1963.2,1.38,551.5,6.21,2.81,1.6,2.28
47274.0,6655.7,1787.75,257285.0,1296.3,16302.7,2.92,19.89,1990.95,1.37,552.38,6.21,2.8,2.0,1.8
47721.0,6631.35,1838.15,247370.0,1315.36,17274.9,3.02,19.85,2026.15,1.39,549.24,6.21,2.78,2.0,1.8
47900.0,6664.2,1841.5,242150.0,1292.55,18025.8,3.07,19.53,2058.25,1.38,557.95,6.23,2.77,2.0,1.8
49401.0,6747.5,1809.95,238390.0,1294.39,18265.8,3.07,19.53,2056.8,1.38,560.72,6.25,2.8,2.0,1.8
49722.0,6720.15,1744.07,229432.5,1298.14,18342.75,2.94,19.33,2039.28,1.39,565.1,6.25,2.8,2.08,2.36
49670.0,6812.2,1728.65,209320.0,1291.24,19944.5,2.91,19.32,2040.8,1.38,554.48,6.23,2.78,2.1,2.5
50453.0,6956.5,1736.05,187915.0,1296.13,19456.5,2.96,19.44,2074.35,1.37,551.06,6.23,2.79,2.1,2.5
50171.0,6980.35,1766.12,177010.0,1286.11,19577.8,3.01,19.34,2075.85,1.36,553.35,6.24,2.79,2.1,2.5
50028.5,6975.2,1811.65,170665.0,1250.42,19137.2,2.98,18.85,2075.85,1.36,549.86,6.24,2.77,2.1,2.42
49562.0,6746.3,1849.05,167650.0,1252.19,18854.6,2.96,19.0,2104.35,1.36,550.98,6.25,2.78,2.1,2.3
48934.0,6701.2,1810.3,163925.0,1270.54,18340.0,3.06,19.54,2089.55,1.35,555.66,6.22,2.8,2.1,2.3
49823.0,6825.2,1849.2,159280.0,1309.24,18370.8,3.12,20.64,2155.2,1.36,554.44,6.23,2.8,2.1,2.3
50808.0,6996.2,1857.8,155470.0,1320.65,18821.2,3.08,20.99,2188.0,1.36,550.57,6.22,2.8,2.08,2.3
51904.0,7149.6,1900.35,157545.0,1320.79,19524.5,3.0,21.08,2248.25,1.36,550.25,6.21,2.78,2.0,2.3
51400.0,7149.2,1918.85,158885.0,1320.2,19290.3,2.93,21.09,2290.55,1.36,553.7,6.2,2.78,2.0,2.3
50364.0,7038.0,1984.25,158115.0,1309.34,18943.7,2.88,20.9,2313.7,1.35,564.02,6.2,2.79,2.0,2.3
50537.0,7118.3,1990.0,152725.0,1301.19,18907.4,2.86,20.6,2386.75,1.34,563.71,6.19,2.78,2.0,2.3
50640.0,7115.85,1992.9,146525.0,1289.51,18486.0,2.76,20.23,2377.0,1.34,572.52,6.17,2.8,1.82,2.12
50341.0,7000.35,2020.7,142475.0,1308.77,18638.7,2.75,19.93,2316.25,1.34,575.39,6.16,2.8,1.7,2.0
49626.0,6894.0,2006.22,142125.0,1304.23,18505.1,2.7,19.63,2273.9,1.34,577.56,6.15,2.8,1.7,2.0
50847.0,7066.45,2061.78,146090.0,1280.86,18782.2,2.74,19.39,2353.2,1.32,583.24,6.15,2.83,1.7,2.0
50580.0,6996.7,2085.2,147960.0,1282.32,18635.7,2.7,19.39,2358.1,1.31,589.9,6.14,2.84,1.7,1.84
50469.0,6944.75,2061.9,154705.0,1261.54,19299.0,2.58,19.08,2361.3,1.3,588.94,6.14,2.85,1.7,1.6
49388.0,6886.6,1991.15,156115.0,1236.79,18253.8,2.53,18.71,2266.45,1.29,591.8,6.14,2.85,1.7,1.6
49413.0,6857.5,1944.75,154070.0,1220.15,17502.7,2.59,18.07,2251.15,1.28,597.97,6.14,2.86,1.7,1.6
48586.0,6758.7,1926.15,154570.0,1216.31,16870.8,2.64,17.43,2270.45,1.27,598.66,6.14,2.88,1.7,1.6
48817.5,6704.25,1891.45,150860.0,1206.68,16391.4,2.4,17.11,2275.6,1.26,596.68,6.14,2.9,1.7,1.6
48575.0,6762.1,1913.17,150425.0,1227.36,16401.1,2.26,17.38,2323.6,1.27,591.11,6.13,2.9,1.7,1.6
48049.0,6660.75,1935.55,157100.0,1242.7,15460.2,2.2,17.39,2230.95,1.28,586.31,6.12,2.9,1.7,1.6
48016.0,6773.5,1984.7,159035.0,1231.51,15076.0,2.18,17.16,2257.9,1.27,583.37,6.12,2.9,1.7,1.6
48342.0,6789.95,2055.3,162420.0,1183.33,15588.8,2.16,16.37,2297.05,1.25,579.44,6.11,2.91,1.54,1.52
48096.0,6744.8,2059.5,160890.0,1155.02,15323.0,2.11,15.56,2236.1,1.25,589.03,6.12,2.92,1.3,1.4
48026.0,6746.0,2041.82,159940.0,1179.15,15552.3,2.04,15.98,2251.3,1.25,594.99,6.12,2.93,1.3,1.4
48073.0,6730.85,2055.7,161640.0,1194.9,16408.3,2.04,16.39,2266.7,1.25,597.51,6.13,2.92,1.3,1.4
46926.0,6529.3,2043.0,163840.0,1192.58,16266.2,1.92,16.21,2235.1,1.25,606.67,6.14,2.92,1.1,1.44
46741.0,6495.65,1968.95,164745.0,1208.05,16679.3,1.76,16.5,2217.05,1.23,611.11,6.16,2.95,0.8,1.5
46905.0,6478.45,1910.18,167825.0,1213.09,16275.3,1.6,16.58,2161.45,1.24,617.76,6.19,2.96,0.8,1.5
46462.0,6403.7,1870.5,170805.0,1187.16,15524.0,1.55,15.81,2146.45,1.22,611.69,6.22,2.95,0.8,1.5
46279.0,6372.4,1833.0,171930.0,1185.41,15090.2,1.49,15.92,2148.4,1.22,607.73,6.21,2.98,0.8,1.5
46215.0,6293.6,1797.57,177655.0,1195.91,15012.4,1.41,15.95,2175.73,1.2,611.77,6.21,2.98,0.08,0.94
45166.0,6113.05,1786.65,184820.0,1221.27,15163.7,1.31,16.58,2122.85,1.18,615.08,6.21,2.98,-0.1,0.8
41642.0,5699.8,1809.07,203990.0,1268.48,14502.9,1.33,17.44,2067.8,1.16,626.93,6.21,3.0,-0.1,0.8
41228.0,5625.6,1856.3,231010.0,1292.5,14695.8,1.34,18.13,2115.85,1.14,624.55,6.23,3.02,-0.1,0.8
40276.0,5547.5,1846.2,248105.0,1271.61,15095.5,1.45,17.32,2116.6,1.13,627.42,6.25,3.05,-0.06,1.04
41496.0,5687.7,1852.8,279365.0,1247.88,15047.05,1.54,17.04,2134.2,1.13,625.22,6.25,3.06,0.0,1.4
41430.0,5708.05,1810.88,293415.0,1221.92,14529.6,1.59,16.95,2122.05,1.14,622.39,6.24,3.07,0.0,1.4
41962.5,5743.65,1787.3,298020.0,1204.35,14075.9,1.62,16.32,2051.35,1.14,619.06,6.25,3.08,0.0,1.4
42436.0,5882.35,1788.4,296210.0,1207.43,14018.5,1.81,16.46,2038.45,1.12,616.94,6.26,3.09,-0.04,1.4
42407.0,5833.3,1770.7,320810.0,1178.71,14153.6,1.88,15.94,2006.2,1.09,625.01,6.26,3.09,-0.1,1.4
42423.0,5834.55,1760.3,334905.0,1153.72,13838.6,1.77,15.58,1993.1,1.06,638.22,6.26,3.09,-0.1,1.4
42663.0,5994.35,1779.75,341640.0,1180.45,13915.9,1.79,16.52,2039.05,1.08,630.25,6.21,3.08,-0.1,1.4
43626.0,6118.9,1780.2,337260.0,1193.25,13134.5,1.82,16.85,2078.6,1.09,623.15,6.21,3.07,-0.1,1.4
43541.0,6048.7,1780.3,333215.0,1206.07,12721.0,1.82,16.85,2125.3,1.09,613.48,6.2,3.09,-0.2,1.5
43619.0,6011.0,1774.35,332495.0,1199.04,12498.3,1.79,16.31,2181.75,1.07,615.08,6.21,3.1,-0.2,1.5
43680.0,6005.2,1832.25,338130.0,1200.47,12664.1,1.93,16.17,2198.35,1.07,613.14,6.2,3.11,-0.2,1.5
43842.0,6015.6,1837.45,337670.0,1194.62,13073.7,1.99,16.07,2261.15,1.09,612.26,6.2,3.12,-0.2,1.5
45086.0,6373.37,1923.45,339495.0,1189.47,13851.15,2.04,16.34,2376.85,1.12,610.88,6.2,3.12,-0.08,1.32
45938.0,6399.75,1864.45,339560.0,1187.98,14169.7,2.01,16.42,2361.35,1.12,607.35,6.21,3.14,0.0,1.2
46067.0,6362.0,1806.4,337885.0,1218.4,13690.8,2.04,17.36,2290.1,1.13,599.5,6.2,3.14,0.0,1.2
45117.0,6170.45,1728.65,331007.5,1203.02,12792.05,2.04,17.03,2175.05,1.1,607.72,6.2,3.14,0.0,1.2
44222.0,6043.95,1712.6,322635.0,1189.4,12821.8,2.02,16.72,2178.05,1.1,618.68,6.2,3.14,0.04,1.28
43548.0,5945.75,1710.85,314995.0,1176.5,13179.9,2.03,16.12,2137.55,1.12,629.34,6.2,3.14,0.1,1.4
43188.0,5857.85,1696.0,314505.0,1182.94,13104.8,2.13,16.02,2102.7,1.13,631.87,6.21,3.15,0.1,1.4
42310.0,5700.8,1666.8,316890.0,1190.02,12650.3,2.08,16.07,2041.65,1.13,631.54,6.21,3.16,0.1,1.4
42554.0,5752.15,1667.6,312560.0,1174.99,12300.4,2.05,15.8,2019.75,1.12,635.31,6.21,3.17,0.1,1.4
42395.0,5638.55,1664.45,323635.0,1165.43,11671.0,1.98,15.54,2000.15,1.11,640.07,6.2,3.17,0.2,1.6
41045.0,5564.6,1656.7,331535.0,1158.36,11376.55,1.99,15.39,2016.95,1.11,645.88,6.21,3.17,0.2,1.6
40884.0,5479.6,1652.75,338860.0,1125.2,11554.5,1.91,14.89,2052.9,1.09,646.31,6.21,3.17,0.2,1.6
39496.0,5260.1,1605.15,341990.0,1094.34,11263.5,1.83,14.65,1964.6,1.1,660.29,6.21,3.18,0.2,1.6
39141.0,5246.55,1594.35,346135.0,1090.45,10929.9,1.77,14.67,1930.9,1.1,674.7,6.21,3.18,0.2,1.76
38667.0,5183.15,1563.0,352765.0,1095.94,10839.3,1.66,14.91,1852.0,1.1,678.43,6.23,3.19,0.2,2.0
39359.0,5130.15,1543.0,350930.0,1117.73,10493.7,1.69,15.27,1809.8,1.11,687.66,6.39,3.22,0.2,2.0
38899.0,5050.35,1526.9,354680.0,1148.29,9995.4,1.51,15.13,1757.6,1.14,697.92,6.4,3.26,0.2,2.0
39334.0,5096.73,1561.65,369560.0,1131.45,9842.4,1.48,14.47,1770.88,1.12,694.45,6.39,3.26,0.16,1.92
39396.0,5212.1,1593.0,355575.0,1123.89,9888.0,1.42,14.64,1793.4,1.12,690.86,6.35,3.22,0.0,1.6
40960.0,5375.95,1608.85,342310.0,1107.52,10142.7,1.35,14.53,1775.45,1.13,686.82,6.37,3.21,0.0,1.6
